,fsq_id,categories,chains,distance,link,name,timezone,geocodes.main.latitude,geocodes.main.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.neighborhood,geocodes.roof.latitude,geocodes.roof.longitude,location.address_extended
0,4e4b6a31a8097d9c84bb75a3,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],1004,/v3/places/4e4b6a31a8097d9c84bb75a3,COEP Boys Hostel,Asia/Kolkata,18.528204,73.851891,Jm Road,IN,,"Jm Road, Pune 931735, Mahārāshtra",Pune,931735,Mahārāshtra,,,,
1,4f26be3ee4b0617646947c82,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],2686,/v3/places/4f26be3ee4b0617646947c82,HND Jain Hostel,Asia/Kolkata,18.53364,73.835514,,IN,,931735,,931735,,,,,
2,308576fec1604911bf862fae,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],275,/v3/places/308576fec1604911bf862fae,Prakash Hostel,,18.521745,73.858898,Shimpi Ali Path,IN,,"Shimpi Ali Path, Pune 411011, Maharashtra",Pune,411011,Maharashtra,['Kasba Peth'],,,
3,c83fd377343d45860e2d656a,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],505,/v3/places/c83fd377343d45860e2d656a,Vidyalankar Hostel,,18.517606,73.852909,Bhadabhade Path,IN,,"Bhadabhade Path, Pune 411030, Maharashtra",Pune,411030,Maharashtra,['Shaniwar Peth'],,,
4,f479b1e6aa5343990586f760,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],1070,/v3/places/f479b1e6aa5343990586f760,COEP Hostel,,18.529054,73.852244,Bankim Chandra Chattopadhyay Road,IN,,"Bankim Chandra Chattopadhyay Road, Pune 411005, Maharashtra",Pune,411005,Maharashtra,['Shivaji Nagar'],18.529054,73.852244,
5,d0f4a5fdf2ab4ddba155e991,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],1473,/v3/places/d0f4a5fdf2ab4ddba155e991,Nurses Hostel Bjmc and Sasson,,18.52315,73.87038,"Ambedkar Wellesly Road, Somwar Peth",IN,,"Ambedkar Wellesly Road, Somwar Peth, Pune 411011, Maharashtra",Pune,411011,Maharashtra,['Somwar Peth'],18.52315,73.87038,
6,597deffbdec1d60e998989e3,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],4412,/v3/places/597deffbdec1d60e998989e3,Backpacker Panda,Asia/Kolkata,18.537828,73.894481,"Cts 120, Lane 4, Koregaon Park",IN,,"Cts 120, Lane 4, Koregaon Park, Pune 411001, Mahārāshtra",Pune,411001,Mahārāshtra,['Koregaon Park'],18.537828,73.894481,
7,4ec89b310e6158bafff481c2,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],4612,/v3/places/4ec89b310e6158bafff481c2,Hotel Lotus,Asia/Kolkata,18.536393,73.897353,"Lane 5, Koregaon Park",IN,,"Lane 5, Koregaon Park, Pune 411001, Mahārāshtra",Pune,411001,Mahārāshtra,['Koregaon Park'],18.536393,73.897353,Opposite Rajat-Rashmi Arcade
8,4e24790a628469a574340778,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],5432,/v3/places/4e24790a628469a574340778,Palm Grooves,Asia/Kolkata,18.522934,73.908295,,IN,,"Pune 931735, Mahārāshtra",Pune,931735,Mahārāshtra,,18.522934,73.908295,
9,4bd5848329eb9c74f05f93e1,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],5588,/v3/places/4bd5848329eb9c74f05f93e1,Hotel Sudharshan,Asia/Kolkata,18.543388,73.903897,Kalyani,IN,,"Kalyani, Pune 931735, Mahārāshtra",Pune,931735,Mahārāshtra,,18.543388,73.903897,
