,fsq_id,categories,chains,distance,link,name,timezone,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.country,location.cross_street,location.formatted_address,location.address,location.locality,location.neighborhood,location.postcode,location.region,location.address_extended
0,4ff40834e4b00ee3e4b8236d,"[{'id': 12035, 'name': 'College Residence Hall', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/education/residencehall_', 'suffix': '.png'}}]",[],5613,/v3/places/4ff40834e4b00ee3e4b8236d,Rachana's pg,Asia/Kolkata,18.487206,73.816693,18.487206,73.816693,IN,,,,,,,,
1,430dccbc2f7f412ddaed43eb,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],526,/v3/places/430dccbc2f7f412ddaed43eb,Aditis PG for Girls,,18.516441,73.853955,,,IN,,"Shrimant Thorle Bajirao Peshwe Path, Pune 411002, Maharashtra",Shrimant Thorle Bajirao Peshwe Path,Pune,['Budhwar Peth'],411002,Maharashtra,
2,b645f80640224308a97d809b,"[{'id': 17000, 'name': 'Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]",[],1133,/v3/places/b645f80640224308a97d809b,PG Trading Company,,18.510669,73.859911,18.510669,73.859911,IN,,"Subhansha Road, Pune 411002, Maharashtra",Subhansha Road,Pune,['Raviwar Peth'],411002,Maharashtra,
3,cd888de94e924d6de1c51c81,[],[],2832,/v3/places/cd888de94e924d6de1c51c81,Doctor Dhepe's Skin City Dermatology PG Institute,,18.522222,73.883514,,,IN,,"Runwal Regency, Above Gold Mart, Pune 411001","Runwal Regency, Above Gold Mart",Pune,['Sadhu Vaswani Chowk'],411001,,
4,3750328484794af8755a272b,"[{'id': 12063, 'name': 'Trade School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/education/tradeschool_', 'suffix': '.png'}}]",[],3235,/v3/places/3750328484794af8755a272b,PG Computer Training,,18.491947,73.863206,18.491947,73.863206,IN,,"Swargate Chowk, Swargate, Pune 411037, Maharashtra","Swargate Chowk, Swargate",Pune,['Maharshi Nagar'],411037,Maharashtra,
5,9ff07a5c29bb4e08d32d1381,"[{'id': 17000, 'name': 'Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]",[],3318,/v3/places/9ff07a5c29bb4e08d32d1381,PG Computers,,18.491566,73.8649,18.491566,73.8649,IN,,"Pune 411037, Maharashtra",,Pune,['Maharshi Nagar'],411037,Maharashtra,
6,278651d3ab06484ba3cb5850,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],4348,/v3/places/278651d3ab06484ba3cb5850,Darekars Ladies PG Hostel,,18.495713,73.824678,18.495713,73.824678,IN,,"Darekar House, 56, Pune 411052, Maharashtra","Darekar House, 56",Pune,['Karve Nagar'],411052,Maharashtra,"Near Alankar Police Chowki, Ganeshnagar, Laxmibai Tole Road, Swastishree Society, Ganesh Nagar, Karve"
7,9628d33df1064d9a4ef189dc,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],4665,/v3/places/9628d33df1064d9a4ef189dc,Popcorn PG and Hostel,,18.509322,73.813996,18.509322,73.813996,IN,,"Behede Complex, Paud Road, Sarvatra Society, Anand Nagar, Kothrud, Pune 411038, Maharashtra","Behede Complex, Paud Road, Sarvatra Society, Anand Nagar, Kothrud",Pune,['Kothrud'],411038,Maharashtra,
8,cdcec37e53f947157bc3d00e,"[{'id': 17000, 'name': 'Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]",[],4674,/v3/places/cdcec37e53f947157bc3d00e,PG Mandap Decoration and Events,,18.549238,73.889001,,,IN,,"National Games Marg, Pune 411006, Maharashtra",National Games Marg,Pune,['Yerwada'],411006,Maharashtra,
9,2da9309485ff462562a82fd9,"[{'id': 19014, 'name': 'Hotel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hotel_', 'suffix': '.png'}}]",[],5428,/v3/places/2da9309485ff462562a82fd9,Vishal PG,,18.52322,73.908129,18.52322,73.908129,IN,,"Sr No 50/1, Nanai Baugh Society, B T Kawade Road, Ghorpuri Ghon, Pune 411036, Maharashtra","Sr No 50/1, Nanai Baugh Society, B T Kawade Road, Ghorpuri Ghon",Pune,['Ghorpadi'],411036,Maharashtra,Next To Bharat Petrol Pump
