,fsq_id,categories,chains,distance,link,name,timezone,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,location.neighborhood
0,51c00b1d498e6aea7b0bc8b3,"[{'id': 11167, 'name': 'Technology Business', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/technology_', 'suffix': '.png'}}]",[],7322,/v3/places/51c00b1d498e6aea7b0bc8b3,GS Lab Pvt. Ltd.(new Location),Asia/Kolkata,18.555146,73.797487,18.555146,73.797487,Floor No.4,IN,Baner Road,"Floor No.4 (Baner Road), Pune 411045, Mahārāshtra",Pune,411045,Mahārāshtra,
1,4f9edbbae4b060643151f158,"[{'id': 12094, 'name': 'Residential Building', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/apartment_', 'suffix': '.png'}}]",[],13448,/v3/places/4f9edbbae4b060643151f158,Swiss County Residential Society,Asia/Kolkata,18.614453,73.779769,18.614453,73.779769,"Thergaon, Chinchwad",IN,,"Thergaon, Chinchwad, Pimpri Chinchwad 411033, Maharashtra",Pimpri Chinchwad,411033,Maharashtra,['Thergaon']
2,4d205e66756e8cfa41ad6b54,"[{'id': 12057, 'name': 'Primary and Secondary School', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}}]",[],27692,/v3/places/4d205e66756e8cfa41ad6b54,Riverdale International Residential School,Asia/Kolkata,18.547832,73.536133,,,Village Rawade Taluka,IN,,"Village Rawade Taluka, Pune 412108, Mahārāshtra",Pune,412108,Mahārāshtra,
3,e554395ece4a4727fe1850d4,"[{'id': 17000, 'name': 'Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]",[],1181,/v3/places/e554395ece4a4727fe1850d4,New Touch Point Location,,18.522166,73.867761,18.522166,73.867761,"367 Pm Chaure Path, Somwar Peth",IN,,"367 Pm Chaure Path, Somwar Peth, Pune 411011, Maharashtra",Pune,411011,Maharashtra,['Somwar Peth']
4,f4083c51f15d4d47f9cccf40,"[{'id': 17000, 'name': 'Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]",[],1997,/v3/places/f4083c51f15d4d47f9cccf40,My Residential Project,,18.514916,73.838643,18.514916,73.838643,"Prabhat Road, Deccan Gymkhana",IN,,"Prabhat Road, Deccan Gymkhana, Pune 411004, Maharashtra",Pune,411004,Maharashtra,['Deccan Gymkhana']
5,ae707472bd744b4e32ee69c6,[],[],7108,/v3/places/ae707472bd744b4e32ee69c6,Homeward Residential India Corporation Pvt. Ltd.,,18.514111,73.923837,18.514111,73.923837,"Tower 6 Level 1, 3 And 4 Cybercity, Magarpatta City, Hadapsar",IN,,"Tower 6 Level 1, 3 And 4 Cybercity, Magarpatta City, Hadapsar, Pune 411013, Maharashtra",Pune,411013,Maharashtra,['Hadapsar']
6,b622d393b2074ef8a0a8d163,"[{'id': 12009, 'name': 'Education', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/building/school_', 'suffix': '.png'}}]",[],11241,/v3/places/b622d393b2074ef8a0a8d163,Dnyangangotri Residential School for Mentally Retarted,,18.429217,73.810501,,,"Raikar Mala Road, Dhayari",IN,,"Raikar Mala Road, Dhayari, Pune 411041, Maharashtra",Pune,411041,Maharashtra,['Dhayri']
7,26d2fb323f9548b3f6c46368,"[{'id': 17000, 'name': 'Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]",[],15319,/v3/places/26d2fb323f9548b3f6c46368,Hashtag Residential,,18.582758,73.727017,,,"220 Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi",IN,,"220 Hinjewadi Rajiv Gandhi Infotech Park, Hinjawadi, Pune 411057, Maharashtra",Pune,411057,Maharashtra,['Hinjewadi']
8,4494805b8d0b45a19414b4ef,"[{'id': 19009, 'name': 'Lodging', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/default_', 'suffix': '.png'}}]",[],39285,/v3/places/4494805b8d0b45a19414b4ef,Tripvillas @ 3 Bhk Villa At A Prime Location In Lavasa (22331794),,18.401183,73.505825,,,Dasve Road,IN,,"Dasve Road, 412112",,412112,,
9,1c6b1dbe9bcd4be40ab6c66e,"[{'id': 19013, 'name': 'Hostel', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/travel/hostel_', 'suffix': '.png'}}]",[],64146,/v3/places/1c6b1dbe9bcd4be40ab6c66e,Dnyandeep English Medium Residential Hostel,,17.943173,73.8618,,,"Shivshakti Marg, Pasarni",IN,,"Shivshakti Marg, Pasarni, 412803, Maharashtra",,412803,Maharashtra,
10,ebd8ecd2692644ded0f7393a,"[{'id': 17000, 'name': 'Retail', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/shops/default_', 'suffix': '.png'}}]","[{'id': '487c8f3c-90e5-4f4b-a903-230cd15e8b7b', 'name': 'Reliance Retail'}]",79513,/v3/places/ebd8ecd2692644ded0f7393a,Reliance Residential Complex,,18.900841,73.216873,,,,IN,,"RIL Township 410206, Maharashtra",RIL Township,410206,Maharashtra,
