,calories_day,diet_current_coded,fav_cuisine_coded,sports,exercise,pay_meal_out,fruit_day,cook,eating_out,income
1,3.0,2,1,1.0,1.0,4,4,3.0,2,4.0
2,4.0,3,1,2.0,2.0,3,5,1.0,2,6.0
3,3.0,2,3,2.0,3.0,2,4,2.0,2,6.0
4,2.0,2,1,1.0,1.0,4,4,1.0,2,6.0
5,3.0,2,6,2.0,2.0,5,2,3.0,1,1.0
6,3.0,3,4,1.0,1.0,2,4,2.0,2,4.0
7,3.0,1,5,2.0,2.0,5,5,3.0,2,5.0
9,3.0,1,1,1.0,1.0,3,5,3.0,3,4.0
10,3.0,1,4,1.0,1.0,2,5,1.0,2,3.0
11,4.0,1,1,1.0,1.0,3,5,3.0,1,5.0
12,3.0,1,4,1.0,3.0,2,4,5.0,1,5.0
13,3.0,2,1,1.0,2.0,3,5,2.0,4,5.0
14,3.0,1,4,1.0,2.0,3,5,3.0,2,5.0
16,3.0,1,7,2.0,2.0,2,5,3.0,1,1.0
17,3.0,3,5,1.0,1.0,6,3,3.0,2,6.0
18,3.0,1,5,2.0,3.0,2,5,3.0,3,5.0
20,3.0,2,2,1.0,1.0,2,2,5.0,4,6.0
21,3.0,2,8,1.0,1.0,5,3,3.0,1,6.0
22,3.0,1,1,1.0,1.0,5,4,5.0,1,6.0
23,3.0,1,4,1.0,3.0,3,3,4.0,2,4.0
25,3.0,1,0,1.0,1.0,3,4,3.0,2,6.0
26,2.0,1,1,1.0,1.0,4,3,3.0,2,5.0
27,4.0,1,2,1.0,1.0,6,5,4.0,2,6.0
28,2.0,2,1,2.0,2.0,3,3,2.0,2,5.0
29,2.0,2,8,2.0,2.0,4,5,3.0,5,5.0
30,3.0,1,2,1.0,2.0,3,3,3.0,3,5.0
31,3.0,2,1,2.0,2.0,3,5,2.0,2,4.0
33,3.0,2,1,2.0,3.0,3,3,4.0,2,3.0
34,3.0,2,1,1.0,1.0,4,5,4.0,3,6.0
35,2.0,3,5,1.0,1.0,3,5,1.0,2,4.0
36,3.0,2,1,1.0,1.0,3,5,3.0,4,6.0
37,4.0,2,1,1.0,3.0,4,3,2.0,2,6.0
38,3.0,1,1,1.0,2.0,3,4,3.0,2,5.0
40,3.0,3,1,1.0,1.0,3,3,3.0,2,6.0
41,4.0,4,1,2.0,1.0,3,5,2.0,4,3.0
44,4.0,1,4,1.0,1.0,6,5,1.0,2,5.0
46,2.0,2,1,1.0,2.0,3,4,3.0,2,4.0
49,3.0,2,1,2.0,2.0,6,3,3.0,2,3.0
50,3.0,1,5,2.0,1.0,3,4,5.0,2,1.0
51,4.0,4,0,1.0,1.0,3,5,3.0,3,6.0
52,4.0,3,2,1.0,1.0,3,5,1.0,5,5.0
54,3.0,1,1,1.0,1.0,6,5,1.0,3,6.0
55,2.0,2,1,1.0,1.0,2,4,3.0,5,3.0
56,4.0,1,4,1.0,1.0,4,5,3.0,4,6.0
57,4.0,1,5,1.0,1.0,3,4,2.0,3,5.0
58,3.0,3,2,1.0,2.0,4,5,1.0,2,5.0
60,4.0,1,2,1.0,1.0,3,5,2.0,5,6.0
61,2.0,1,2,2.0,2.0,2,3,2.0,2,4.0
62,4.0,1,1,1.0,1.0,3,4,3.0,5,6.0
63,4.0,1,1,1.0,1.0,3,5,3.0,4,5.0
64,3.0,1,4,1.0,1.0,2,5,1.0,3,2.0
67,2.0,2,1,1.0,2.0,4,5,4.0,3,5.0
68,3.0,1,1,1.0,1.0,4,5,3.0,1,6.0
69,4.0,2,1,2.0,2.0,3,3,2.0,2,6.0
70,3.0,1,1,1.0,2.0,3,5,3.0,1,3.0
72,3.0,2,0,2.0,2.0,2,5,3.0,1,5.0
73,4.0,2,2,1.0,1.0,3,3,1.0,4,6.0
74,2.0,4,0,2.0,2.0,5,4,2.0,1,3.0
